Tank,ColorID,ID,Temp,Treatment,Trial,Trial_date,Length,Weight,Notes,Ethovision_trial,DistMove,TimeMove,TimeNotMove,FreqArena,TimeArena,FreqPartial,TimePartial
C_14_1,Blue,C_14_1_Blue,14,control,Pre1,15/02/2024,8,5.1,,Never Leaves,0,0,0,0,0,0,0
C_14_1,Blue,C_14_1_Blue,14,control,Pre2,18/02/2024,8,5.1,,1,964.203,119.953,17.5175,10,139.806,19,42.2088
C_14_1,Blue,C_14_1_Blue,14,control,Pre3,21/02/2024,8,5.1,,Never Leaves,0,0,0,0,0,0,0
C_14_1,Blue,C_14_1_Blue,14,control,Pre4,24/02/2024,8,5.1,,74,56.1831,10.8442,3.33666,4,16.3497,6,13.6803
C_14_1,Blue,C_14_1_Blue,14,control,Post1,12/03/2024,8,5.1,,Never Leaves,0,0,0,0,0,0,0
C_14_1,Blue,C_14_1_Blue,14,control,Post2,15/03/2024,8,5.1,,1,119.973,16.1828,10.8442,1,27.1938,2,17.8512
C_14_1,Blue,C_14_1_Blue,14,control,Post3,18/03/2024,8,5.1,,1,147.44,13.3467,287.454,3,302.635,3,302.635
C_14_1,Blue,C_14_1_Blue,14,control,Post4,21/03/2024,8,5.1,,Never Leaves,0,0,0,0,0,0,0
C_14_1,Orange,C_14_1_Orange,14,control,Pre1,15/02/2024,8.6,6.5,,Never Leaves,0,0,0,0,0,0,0
C_14_1,Orange,C_14_1_Orange,14,control,Pre2,18/02/2024,8.6,6.5,,2,926.71,105.272,110.944,10,219.219,19,131.464
C_14_1,Orange,C_14_1_Orange,14,control,Pre3,21/02/2024,8.6,6.5,,1,3068.91,354.02,49.0489,29,411.077,52,105.272
C_14_1,Orange,C_14_1_Orange,14,control,Pre4,24/02/2024,8.6,6.5,,75,2728.94,330.663,123.79,26,459.458,48,152.819
C_14_1,Orange,C_14_1_Orange,14,control,Post1,12/03/2024,8.6,6.5,,1,3383.8,366.198,60.0599,27,431.43,48,101.101
C_14_1,Orange,C_14_1_Orange,14,control,Post2,15/03/2024,8.6,6.5,,2,1558.71,206.206,359.358,10,568.901,25,116.95
C_14_1,Orange,C_14_1_Orange,14,control,Post4,21/03/2024,8.6,6.5,,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_1,Pink,C_14_1_Pink,14,control,Pre1,15/02/2024,7.9,5,,1,6135.52,495.161,10.8442,28,510.843,54,54.5545
